,RS,Group
TCGA-3M-AB46-01A,-0.5303445,Low
TCGA-B7-5818-01A,-2.15696864675553,Low
TCGA-B7-A5TI-01A,1.24071482252758,High
TCGA-B7-A5TJ-01A,-0.0619369414324406,Low
TCGA-B7-A5TK-01A,0.853291007553461,High
TCGA-B7-A5TN-01A,1.82335271645449,High
TCGA-BR-4187-01A,0.992835306291005,High
TCGA-BR-4191-01A,-0.638935780578731,Low
TCGA-BR-4201-01A,0.667700231283276,High
TCGA-BR-4253-01A,-1.53929790148012,Low
TCGA-BR-4256-01A,0.96958468630213,High
TCGA-BR-4257-01A,0.5627151,High
TCGA-BR-4267-01A,-0.880618225431821,Low
TCGA-BR-4279-01A,2.82006262882669,High
TCGA-BR-4280-01A,-1.92718138555172,Low
TCGA-BR-6452-01A,-0.00793093418548626,Low
TCGA-BR-6453-01A,0.157712231447141,Low
TCGA-BR-6455-01A,0.46578365212601,High
TCGA-BR-6456-01A,1.9456648377355,High
TCGA-BR-6457-01A,2.86769511654932,High
TCGA-BR-6458-01A,1.76807213088153,High
TCGA-BR-6563-01A,-1.799891,Low
TCGA-BR-6564-01A,2.40757667379763,High
TCGA-BR-6565-01A,0.185684657505555,Low
TCGA-BR-6566-01A,0.243337196481742,Low
TCGA-BR-6705-01A,2.68429708732156,High
TCGA-BR-6707-01A,0.0633810886028937,Low
TCGA-BR-6709-01A,0.924437380870501,High
TCGA-BR-6710-01A,-1.68641267395734,Low
TCGA-BR-6801-01A,-0.5654263,Low
TCGA-BR-6802-01A,-1.04875885404257,Low
TCGA-BR-6803-01A,1.90436051985393,High
TCGA-BR-6852-01A,-0.0197037620207875,Low
TCGA-BR-7196-01A,1.46009801420096,High
TCGA-BR-7197-01A,0.481253070034019,High
TCGA-BR-7704-01A,0.28698762147272,Low
TCGA-BR-7707-01A,-0.647284441866477,Low
TCGA-BR-7715-01A,0.630085603696738,High
TCGA-BR-7716-01A,-0.3522418,Low
TCGA-BR-7717-01A,0.634302256967524,High
TCGA-BR-7722-01A,-0.399059073290767,Low
TCGA-BR-7723-01A,0.38573449270637,High
TCGA-BR-7851-01A,-0.737999398771153,Low
TCGA-BR-7901-01A,1.6405251522559,High
TCGA-BR-7957-01A,2.33491375609889,High
TCGA-BR-7958-01A,-0.0580447797330084,Low
TCGA-BR-7959-01A,3.24658309665267,High
TCGA-BR-8058-01A,-1.77654,Low
TCGA-BR-8059-01A,1.34030512662029,High
TCGA-BR-8060-01A,0.749599446080114,High
TCGA-BR-8080-01A,2.34560717088789,High
TCGA-BR-8081-01A,-0.117325153539278,Low
TCGA-BR-8284-01A,1.11730601575866,High
TCGA-BR-8286-01A,1.06924515636761,High
TCGA-BR-8289-01A,0.850059235958445,High
TCGA-BR-8291-01A,1.63897309684465,High
TCGA-BR-8295-01A,1.867132,High
TCGA-BR-8296-01A,0.261256573155548,Low
TCGA-BR-8297-01A,1.50489562849201,High
TCGA-BR-8361-01A,-0.482067815539068,Low
TCGA-BR-8364-01A,2.5033078769152,High
TCGA-BR-8365-01A,2.35099814866347,High
TCGA-BR-8367-01A,0.913922553787548,High
TCGA-BR-8368-01A,-1.95417270107869,Low
TCGA-BR-8369-01A,0.271649557115185,Low
TCGA-BR-8371-01A,0.932977846640922,High
TCGA-BR-8372-01A,-0.708786535997872,Low
TCGA-BR-8373-01A,-0.634176543725941,Low
TCGA-BR-8381-01A,0.994356269484888,High
TCGA-BR-8382-01A,0.308097805794012,Low
TCGA-BR-8384-01A,1.56443720597681,High
TCGA-BR-8483-01A,1.38161887095618,High
TCGA-BR-8484-01A,0.864106016525833,High
TCGA-BR-8485-01A,0.470590185986572,High
TCGA-BR-8487-01A,-0.269750579387377,Low
TCGA-BR-8588-01A,1.51713759114986,High
TCGA-BR-8589-01A,-2.4156367778141,Low
TCGA-BR-8590-01A,1.39081377696641,High
TCGA-BR-8591-01A,0.0880189849530077,Low
TCGA-BR-8592-01A,1.58386796075735,High
TCGA-BR-8676-01A,-0.656112353297451,Low
TCGA-BR-8677-01A,1.28590129679784,High
TCGA-BR-8678-01A,-0.278343118955029,Low
TCGA-BR-8680-01A,-0.604924364089391,Low
TCGA-BR-8682-01A,-0.00138318967320339,Low
TCGA-BR-8683-01A,1.52907296208713,High
TCGA-BR-8686-01A,-0.014038596039883,Low
TCGA-BR-8687-01A,0.329177245961188,High
TCGA-BR-8690-01A,1.45279547673821,High
TCGA-BR-A44T-01A,1.31798845835161,High
TCGA-BR-A44U-01A,1.57351008507117,High
TCGA-BR-A4CS-01A,0.518087212922746,High
TCGA-BR-A4IV-01A,1.8860579090811,High
TCGA-BR-A4J5-01A,1.131587435263,High
TCGA-BR-A4J7-01A,1.91896075061401,High
TCGA-BR-A4J8-01A,1.5101225497217,High
TCGA-BR-A4PF-01A,-1.03466954682367,Low
TCGA-BR-A4QL-01A,-0.353655183496821,Low
TCGA-CD-5798-01A,1.96365992811105,High
TCGA-CD-5799-01A,0.22762165707158,Low
TCGA-CD-5800-01A,0.0208191555605459,Low
TCGA-CD-5801-01A,0.351173955554649,High
TCGA-CD-5803-01A,2.37441340382885,High
TCGA-CD-5813-01A,2.45950270912645,High
TCGA-CD-8524-01A,2.67276688520286,High
TCGA-CD-8525-01A,0.55304323462042,High
TCGA-CD-8526-01A,0.865860233883485,High
TCGA-CD-8527-01A,0.815207084614835,High
TCGA-CD-8528-01A,-0.713198012884652,Low
