"","from","to","pvalue","ID","variable","cor","weight","color"
"2","GMIP","COL23A1",2.47223061669818e-09,"GMIP","COL23A1",0.265189029681397,8.60691101946999,"#FB9A99"
"6","CDKN2C","COL23A1",7.03298233391832e-07,"CDKN2C","COL23A1",0.221542074878255,6.15286047348542,"#FB9A99"
"7","AVPR2","COL23A1",2.62114584456104e-14,"AVPR2","COL23A1",0.333629003435313,13.5815088135723,"#FB9A99"
"8","MAP7D3","COL23A1",0.0365486625570606,"MAP7D3","COL23A1",0.0941137151876983,1.43712851076401,"#FB9A99"
"9","CXCL9","COL23A1",0.000981004455755684,"CXCL9","COL23A1",0.147989905543018,3.00832902003523,"#FB9A99"
"10","NLRC5","COL23A1",0.0269894100419649,"NLRC5","COL23A1",0.0995359147809239,1.56880660852683,"#FB9A99"
"11","NIFK","COL23A1",0.0495365366471052,"NIFK","COL23A1",-0.0884223566192179,1.30507436043953,"#C6DBEF"
"14","CYP4F11","COL23A1",0.00112323510891551,"CYP4F11","COL23A1",-0.146287554657364,2.94952933027662,"#C6DBEF"
"15","HCLS1","COL23A1",0,"HCLS1","COL23A1",0.396178271036817,Inf,"#FB9A99"
"16","SFTPA2","COL23A1",0.00916715935177618,"SFTPA2","COL23A1",0.117131449564782,2.03776521928856,"#FB9A99"
"17","ZNF566","COL23A1",1.20239516760679e-09,"ZNF566","COL23A1",0.270225905904352,8.91995277783526,"#FB9A99"
"18","CXCR3","COL23A1",8.23230757420316e-12,"CXCR3","COL23A1",0.302555243411441,11.0844784118992,"#FB9A99"
"20","CDK3","COL23A1",0.00535260590038642,"CDK3","COL23A1",0.125127705635506,2.27143473150695,"#FB9A99"
"23","PSMB5","GMIP",0.000751381164115591,"PSMB5","GMIP",-0.151292179582988,3.12413969618133,"#C6DBEF"
"25","LTA4H","GMIP",0.00446574133119746,"LTA4H","GMIP",0.127801688365369,2.350106436143,"#FB9A99"
"27","AVPR2","GMIP",1.85268491235038e-18,"AVPR2","GMIP",0.380434001968824,17.7321984352214,"#FB9A99"
"28","MAP7D3","GMIP",0.0130310006950346,"MAP7D3","GMIP",0.111688482330097,1.88502223205072,"#FB9A99"
"30","NLRC5","GMIP",7.60558932095243e-14,"NLRC5","GMIP",0.329533155005558,13.1188671288928,"#FB9A99"
"40","CDK3","GMIP",6.60946125478956e-06,"CDK3","GMIP",0.201163242978303,5.17983393894213,"#FB9A99"
"44","MYF6","PSMB5",0.0254651907741723,"MYF6","PSMB5",0.100524553033817,1.59405306592959,"#FB9A99"
"46","CDKN2C","PSMB5",0.0284455319607119,"CDKN2C","PSMB5",-0.0986129702474317,1.54598594006666,"#C6DBEF"
"47","AVPR2","PSMB5",0.00312550300687797,"AVPR2","PSMB5",-0.132704695097549,2.50508007894967,"#C6DBEF"
"48","MAP7D3","PSMB5",5.41816060033055e-08,"MAP7D3","PSMB5",0.242356405204702,7.26614812613865,"#FB9A99"
"49","CXCL9","PSMB5",0.00321507691056929,"CXCL9","PSMB5",-0.132407551880169,2.49280863349051,"#C6DBEF"
"53","TM4SF1","PSMB5",0.00226423409658988,"TM4SF1","PSMB5",0.137172979683922,2.64507867394957,"#FB9A99"
"54","CYP4F11","PSMB5",0.00368094696471132,"CYP4F11","PSMB5",0.130527818859195,2.43404043984732,"#FB9A99"
"55","HCLS1","PSMB5",0.00412481798023683,"HCLS1","PSMB5",-0.128927895704879,2.38459521121657,"#C6DBEF"
"56","SFTPA2","PSMB5",1.24331910963719e-07,"SFTPA2","PSMB5",-0.235126579462608,6.90541739125528,"#C6DBEF"
"58","CXCR3","PSMB5",1.92450040129489e-08,"CXCR3","PSMB5",-0.250256181312016,7.71568199401073,"#C6DBEF"
"59","RPL10A","PSMB5",2.61533632885842e-07,"RPL10A","PSMB5",0.229802786800758,6.58247245349844,"#FB9A99"
"65","LTA4H","MYF6",0.000638397859573197,"LTA4H","MYF6",-0.153118014359147,3.19490857776182,"#C6DBEF"
"66","CDKN2C","MYF6",0.0100883039790338,"CDKN2C","MYF6",-0.115659492808769,1.99618184015147,"#C6DBEF"
"67","AVPR2","MYF6",0.000119995727057014,"AVPR2","MYF6",0.172187860803921,3.92083421852404,"#FB9A99"
"68","MAP7D3","MYF6",1.06628604671911e-09,"MAP7D3","MYF6",0.269985840094169,8.97212627387686,"#FB9A99"
"69","CXCL9","MYF6",0.011877216095677,"CXCL9","MYF6",0.113112986145687,1.92528534184367,"#FB9A99"
"72","SOAT2","MYF6",0.012445934874377,"SOAT2","MYF6",0.11237451555368,1.90497247587065,"#FB9A99"
"75","HCLS1","MYF6",0.0459369799888026,"HCLS1","MYF6",0.0898489371533715,1.33783755980078,"#FB9A99"
"79","RPL10A","MYF6",0.000101498125302437,"RPL10A","MYF6",-0.173988744744477,3.99354197921211,"#C6DBEF"
"80","CDK3","MYF6",0.0198367659430824,"CDK3","MYF6",-0.104782409048415,1.70252913094999,"#C6DBEF"
"86","CDKN2C","LTA4H",4.32955753330589e-06,"CDKN2C","LTA4H",0.205495561340549,5.36355648486198,"#FB9A99"
"89","CXCL9","LTA4H",0.000948399696424189,"CXCL9","LTA4H",0.148412158639553,3.02300859370832,"#FB9A99"
"90","NLRC5","LTA4H",0.0242341248067943,"NLRC5","LTA4H",0.101406490026112,1.61557265980518,"#FB9A99"
