"ID","Corr","Pval","Corr1","Pval1","Corr2","Pval2","Beta-mean1","Beta-mean2","Beta.KW.test.Pval","Beta.Sig","Zscore-mean1","Zscore-mean2","Zscore.KW.test.Pval","Zscore.Sig"
"ACAT2",-0.425328420799719,6.00505016139975e-23,-0.375603393325751,4.80948748294664e-06,-0.440670416298247,4.63619418715208e-18,0.119336065708791,0.0992676391252747,0.584390904521731,"",-0.0455261018700491,0.0182104407480196,0.744210496285153,""
"ALDH7A1",-0.448171071521836,1.38977005496656e-25,-0.342403057889467,3.45909509957456e-05,-0.491571276363584,1.08027033905823e-22,0.112773940238095,0.138348151952381,4.82277350787975e-05,"***",0.0571781327902447,-0.0228712531160985,0.722675512711473,""
"AMIGO2",-0.298677601207149,1.48570910137058e-11,-0.164947371528571,0.0514691214598552,-0.333014426783768,1.64612518433656e-10,0.0512547826190476,0.0949354432380952,0.00692757909401401,"**",0.48602826424985,-0.19441130569994,2.04071585796537e-12,"***"
"AS3MT",-0.514304250456014,1.94425543909303e-34,-0.492491376160167,6.38442838785865e-10,-0.526368938504874,2.45310119335792e-26,0.192336089285714,0.161477927714286,0.0437303681903258,"*",0.0204731489446331,-0.0081892595778533,0.821203343751776,""
"BBS5",-0.399744564440104,3.17027280032605e-20,-0.341125276070937,4.13419363826844e-05,-0.421097545897736,1.78144305781495e-16,0.119790599642857,0.119465242428571,0.965355804326412,"",0.139647879208371,-0.0558591516833483,0.0204751486605759,"*"
"BSCL2",-0.667932488440128,1.32576455868209e-64,-0.679560910542083,0,-0.67375454140964,1.20216197407403e-47,0.251819206208791,0.196954974523077,0.00372958668543512,"**",-0.0218405610110603,0.00873622440442389,0.949319348459346,""
"C6orf223",-0.502827035738965,9.27117749232116e-33,-0.458049152762139,1.26712328770721e-08,-0.492410059428137,8.92321911487545e-23,0.166598448571429,0.128323006,3.46641568794217e-08,"***",-0.206627739775557,0.0826510959102226,0.00477054902440159,"**"
"CCDC122",-0.110499350803314,0.0143947504770062,0.0974612407338567,0.251641161430432,-0.194571166638312,0.000250126175460339,0.150281140357143,0.154895612857143,0.301001848923489,"",0.243226042528907,-0.0972904170115632,0.000419800330689958,"***"
"CDK20",-0.423991763803093,8.44542661696688e-23,-0.384073333430157,2.80470436443215e-06,-0.407710013158154,1.89126028918597e-15,0.0944850911428571,0.153106990557143,3.49202709878781e-11,"***",0.200142158675569,-0.0800568634702279,0.005078608717981,"**"
"CLGN",-0.39266683049366,1.63554609847105e-19,-0.368393431151735,8.74487502618095e-06,-0.398379125786741,9.22820550049559e-15,0.143565382197802,0.113814380131868,0.0031528038574044,"**",-0.139505555774925,0.05580222230997,0.424226777797726,""
"CYP2R1",-0.505944426108804,3.29264086671245e-33,-0.570813794192332,1.79341472684655e-13,-0.473332821142249,6.06923124125318e-21,0.0958493469345238,0.0772338985404762,0.342705846387865,"",-0.100607875212449,0.0402431500849796,0.239498171626621,""
"DNAH14",-0.635673373646317,7.92000211023959e-57,-0.630110865714723,0,-0.607239090351814,1.20698282149081e-36,0.139317856869048,0.174156975804762,6.8707591088994e-05,"***",0.414910546746393,-0.165964218698557,9.48962976415972e-09,"***"
"DYRK1B",-0.673672521465206,4.31605173818404e-66,-0.634583362034188,3.8169811008694e-17,-0.684119184085276,1.25957592567998e-49,0.195176584642857,0.159202969119048,0.0432897501648968,"*",-0.174958991998535,0.0699835967994138,0.00849334218054892,"**"
"EID3",-0.599759033029325,3.41773288831259e-49,-0.533938759133505,1.09541609400809e-11,-0.620627607398132,1.19775250037802e-38,0.460613116428571,0.423006567142857,0.0234533080380242,"*",-0.132765491524115,0.0531061966096461,0.0423120227259537,"*"
"ENPP5",-0.647275938378988,1.62311504540628e-59,-0.649800627365444,3.75679594633926e-18,-0.638494908913654,1.77521856743479e-41,0.168134783987013,0.144343800542857,0.621794905230898,"",-0.0767421086751605,0.0306968434700643,0.120756099878371,""
"EPHA7",-0.502415904381066,1.06189952130794e-32,-0.464254007128644,1.13585412722326e-08,-0.497749088866962,2.61061668720615e-23,0.303192289159664,0.241060154319328,0.0026523089069386,"**",-0.104128829264971,0.0416515317059882,0.0379274938785545,"*"
"GIPC2",-0.693040943702685,2.28184172612896e-71,-0.71130461023242,7.01639408937223e-23,-0.651844667082625,1.02372545738491e-43,0.331399735285714,0.2674188168,0.00106920632717652,"**",-0.267632616937283,0.107053046774913,3.06506441707272e-05,"***"
"GSTM2",-0.649834356576319,3.99656192713268e-60,-0.695794974962279,0,-0.629985587283584,4.16543745921363e-40,0.210707881964286,0.191926679571429,0.193174340331835,"",-0.168923295028701,0.06756931801148,0.00264615358277371,"**"
"HMX2",-0.45895379873584,6.72660127664208e-27,-0.29962077747618,0.0003226988495579,-0.495420356911384,4.4741865543814e-23,0.335475632647959,0.277549791808163,5.13666196919829e-06,"***",-0.270889878307593,0.108355951323037,0.00297312149831316,"**"
"HOXB4",-0.705157648769531,6.89928805872171e-75,-0.687922853206796,0,-0.697270680162971,2.92623201664442e-52,0.38684610242437,0.345027131015126,0.0197563880025156,"*",-0.152767256009713,0.0611069024038851,0.0118940784744683,"*"
"HPDL",-0.541458581758759,1.13129541362097e-38,-0.6618799740661,5.41762937315167e-19,-0.484712570634435,5.055910736412e-22,0.137763639297619,0.103106216257143,0.0861971519014853,"",-0.0950668114100854,0.0380267245640339,0.206296319443089,""
"INA",-0.62859886040869,3.03517125015802e-55,-0.511817489031258,1.02655788265581e-10,-0.639830758711379,1.07197367579807e-41,0.359662296487013,0.293395636181818,1.12873778019594e-06,"***",-0.280095320803878,0.112038128321551,8.3261683875489e-05,"***"
"IVD",-0.668271685359928,1.08516917558275e-64,-0.755243440165154,4.293067507238e-27,-0.629771187058044,4.50442933256714e-40,0.154345760190476,0.122715635396825,0.295425583933029,"",-0.159366544447559,0.0637466177790238,0.345226364807045,""
"KCNC3",-0.690434100192545,1.23808269151435e-70,-0.649222627976646,0,-0.673129696352672,1.57303177706247e-47,0.299401427912088,0.231678964043956,0.000112430698621768,"***",-0.303341483147349,0.12133659325894,1.05014824320013e-05,"***"
"KLHDC9",-0.700639017082908,1.48623894377789e-73,-0.714590446951562,3.61931699611456e-23,-0.688195476668846,1.99000056934548e-50,0.205789586892857,0.159205811846429,0.0030603097625532,"**",-0.161710352545857,0.0646841410183428,0.0433629035716835,"*"
"LOC375196",-0.468728275016755,3.93082987622875e-28,-0.421344039469772,2.1700888071569e-07,-0.475723626212936,3.62831689443134e-21,0.318536196428571,0.249366941361905,0.00105066253160876,"**",-0.309421460519685,0.123768584207874,2.47613484093416e-05,"***"
"NEFL",-0.335171563580646,2.49852435944404e-14,-0.179318186787956,0.034136906650578,-0.371411960206161,6.86229613357924e-13,0.111223411530612,0.167060672285714,1.26460965232895e-10,"***",0.248318618344417,-0.0993274473377668,0.00118697386978277,"**"
"PHYHD1",-0.768063789618184,1.62524626312633e-96,-0.665920272900221,0,-0.770974866608241,3.56106571378843e-70,0.441341329285714,0.355884032285714,6.86975304293092e-06,"***",-0.38361544949771,0.153446179799084,3.14108091020636e-08,"***"
"POU4F1",-0.705466852387189,5.58009537694995e-75,-0.634759049888365,3.71889229575502e-17,-0.730946165088305,1.04528837247294e-59,0.334058766326531,0.264530277306122,0.000157628328125954,"***",-0.122056742533312,0.0488226970133249,0.0477290208659026,"*"
"RIMKLA",-0.480162222907945,1.26018854440234e-29,-0.464083951897187,7.68583725616794e-09,-0.478397648511943,2.03106539181295e-21,0.219167193428571,0.184134480022857,0.0164198217394077,"*",-0.105273025247491,0.0421092100989963,0.0190596860018662,"*"
"RTP4",-0.492095770225342,3.01917351545481e-31,-0.555833631271933,1.0131948486626e-12,-0.468664044415819,1.63841774210341e-20,0.0931287678571429,0.0976463562857143,0.857912854473111,"",-0.0390233977979065,0.0156093591191623,0.626792835213353,""
"SLC13A5",-0.619420215632505,2.99637659084517e-53,-0.699617327414664,0,-0.603439557181662,4.29585292381678e-36,0.367409068809524,0.310893629555556,0.00867156414580262,"**",0.0733418773706112,-0.0293367509482444,0.249952887382039,""
"SLC7A4",-0.568422157976046,2.80797754700043e-43,-0.698139117885023,0,-0.495485372961069,4.40763992100402e-23,0.257078019387755,0.180941297877551,0.00154701042050109,"**",-0.0679539809904444,0.0271815923961778,0.140312644187886,""
"SUOX",-0.115616448835508,0.0104270074804014,-0.131270247546947,0.122108656512674,-0.147351919572593,0.00574603991355052,0.106421576285714,0.1276569828,7.68026793991128e-07,"***",-0.201837544946409,0.0807350179785648,0.00081833871093369,"***"
"SVIP",-0.729173404961002,2.00994770941519e-82,-0.608996085806127,0,-0.749166832440786,3.16893521426241e-64,0.3409556625,0.236030569928571,2.25377541496576e-07,"***",-0.525234633619786,0.210093853447914,1.9990016705674e-14,"***"
"TCP11",-0.660820285632694,8.31574206884092e-63,-0.538015787977521,0,-0.684795281127659,0,0.398823085,0.319277526,8.21328289807886e-06,"***",-0.28804202062317,0.115216808249268,1.10810072046238e-05,"***"
