"The Wheeler criterion","The MethylMix algorithm","Intersection"
"ACAT2","AADAT","ACAT2"
"AJAP1","ABCB6","ALDH7A1"
"ALDH7A1","ACAT2","AMIGO2"
"AMIGO2","AIM2","AS3MT"
"AS3MT","AKR1C2","BBS5"
"BASP1","ALDH1A1","BSCL2"
"BBS5","ALDH7A1","C6orf223"
"BSCL2","ALDOC","CCDC122"
"C10orf67","ALOX15B","CDK20"
"C3orf14","AMIGO2","CLGN"
"C6orf223","ANXA9","CYP2R1"
"CAV1","ARHGAP4","DNAH14"
"CBS","ARL10","DYRK1B"
"CCBE1","ARL9","EID3"
"CCDC122","ARMCX1","ENPP5"
"CDK20","ARMCX2","EPHA7"
"CHDH","ARMCX3","GIPC2"
"CLGN","ARMCX6","GSTM2"
"CNNM1","AS3MT","HMX2"
"CPA2","ATL3","HOXB4"
"CYP2R1","B3GALNT1","HPDL"
"DDX25","BBS5","INA"
"DIRAS2","BCL2L15","IVD"
"DNAH14","BEX1","KCNC3"
"DUSP23","BEX2","KLHDC9"
"DYNC1I1","BEX4","LOC375196"
"DYRK1B","BEX5","NEFL"
"EID3","BNIPL","PHYHD1"
"ENPP5","BRDT","POU4F1"
"EPHA6","BSCL2","RIMKLA"
"EPHA7","BSND","RTP4"
"EREG","BST2","SLC13A5"
"FAM131A","BVES","SLC7A4"
"FAM133A","C10orf105","SUOX"
"GALE","C11orf16","SVIP"
"GCK","C11orf53","TCP11"
"GCNT2","C11orf86","TMEM216"
"GIPC2","C12orf40","TRIM58"
"GLB1L2","C16orf86","USP44"
"GPR27","C1orf146","ZFP28"
"GPR63","C2orf74","ZFP82"
"GRIN2A","C6orf223","ZIK1"
"GSTM2","CACNG8","ZNF135"
"HMX2","CALML4","ZNF214"
"HOXB4","CALML5","ZNF223"
"HOXB9","CASP8","ZNF287"
"HPDL","CCDC106","ZNF345"
"INA","CCDC122","ZNF354C"
"IRX6","CCDC152","ZNF418"
"IVD","CCDC154","ZNF420"
"KCNC3","CCDC68","ZNF433"
"KCNH8","CCDC73","ZNF442"
"KLHDC9","CCDC74A","ZNF470"
"LOC375196","CCDC89","ZNF471"
"MESP1","CCNA1","ZNF493"
"MLNR","CD40","ZNF527"
"NEFL","CD74","ZNF528"
"NMNAT3","CDH26","ZNF563"
"NPTXR","CDK20","ZNF566"
"NSUN7","CDKL2","ZNF567"
"NTRK2","CDO1","ZNF568"
"OTUD7A","CHRNB1","ZNF569"
"PCDHB2","CLDN19","ZNF570"
"PFN2","CLDN4","ZNF572"
"PHYHD1","CLDN8","ZNF573"
"PLEKHG4","CLEC2A","ZNF600"
"PLEKHG6","CLGN","ZNF607"
"PNPLA5","CMTM5","ZNF613"
"PODXL2","CNIH2","ZNF649"
"POMT1","CNKSR2","ZNF665"
"POU4F1","COL21A1","ZNF675"
"PRDM5","COL4A6","ZNF681"
"RAB3B","COX7A1","ZNF772"
"RANBP17","COX7B2","ZNF793"
"RBM11","CPA1","ZNF808"
"RIMKLA","CREB3L4","ZNF829"
"RND2","CRISPLD1","ZNF878"
"RTP4","CRYAB","ZNF879"
"SCN8A","CSAG1","ZNF91"
"SH3TC1","CTAG2","ZYG11A"
"SLC13A5","CTRB1",NA
"SLC7A4","CTRB2",NA
"SLC9A4","CTSK",NA
"SLFN13","CXCL1",NA
"SMC1B","CXCL17",NA
"SPAG16","CXCL2",NA
"SUOX","CXCL6",NA
"SVIP","CYB5A",NA
"SYT10","CYP26A1",NA
"SYT13","CYP2R1",NA
"SYT17","CYP4F2",NA
"TCP11","DCAF12L2",NA
"TFR2","DCAF4L2",NA
"TLL1","DDAH2",NA
"TMEM151B","DDX43",NA
"TMEM216","DERL3",NA
"TRIM47","DKK1",NA
"TRIM58","DMRT2",NA
"TSPYL5","DMRTA1",NA
"TTPA","DNAH14",NA
"USH1C","DNAJB13",NA
"USP44","DNAJC4",NA
"VEGFC","DNALI1",NA
"YBX2","DPPA2",NA
"ZFP28","DPY19L2",NA
"ZFP3","DQX1",NA
"ZFP82","DYRK1B",NA
"ZIK1","EDIL3",NA
"ZNF135","EFCAB1",NA
"ZNF214","EFCAB10",NA
"ZNF223","EGLN3",NA
"ZNF280B","EID3",NA
"ZNF287","EIF4EBP3",NA
"ZNF345","ELF5",NA
"ZNF354C","EN1",NA
"ZNF418","ENPP4",NA
"ZNF420","ENPP5",NA
"ZNF433","EPHA7",NA
"ZNF442","EPHX3",NA
"ZNF468","EPSTI1",NA
"ZNF470","ESPNL",NA
"ZNF471","ETFB",NA
"ZNF493","EVC2",NA
"ZNF527","F2",NA
"ZNF528","F2RL1",NA
"ZNF563","FABP5",NA
"ZNF566","FADS2",NA
"ZNF567","FAM178B",NA
"ZNF568","FAM50A",NA
"ZNF569","FBXW5",NA
"ZNF570","FCHSD1",NA
"ZNF572","FER1L5",NA
"ZNF573","FGF21",NA
"ZNF578","FOLH1",NA
"ZNF600","FOLR1",NA
"ZNF605","FOXE3",NA
"ZNF607","FOXG1",NA
"ZNF613","FOXH1",NA
"ZNF649","FOXI2",NA
"ZNF665","FOXI3",NA
"ZNF667","FTCD",NA
"ZNF675","FTHL17",NA
"ZNF681","FUZ",NA
"ZNF71","G0S2",NA
"ZNF717","G6PC3",NA
"ZNF772","GALC",NA
"ZNF793","GALNT5",NA
"ZNF808","GBP4",NA
"ZNF829","GCKR",NA
"ZNF878","GDA",NA
"ZNF879","GGT6",NA
"ZNF91","GIPC2",NA
"ZYG11A","GLB1L",NA
NA,"GLYATL3",NA
NA,"GOLPH3L",NA
NA,"GPHA2",NA
NA,"GPR149",NA
NA,"GPR150",NA
NA,"GPR19",NA
NA,"GPRASP2",NA
NA,"GPT",NA
NA,"GPX2",NA
NA,"GPX3",NA
NA,"GPX7",NA
NA,"GREB1L",NA
NA,"GRK7",NA
NA,"GSTA4",NA
NA,"GSTM1",NA
NA,"GSTM2",NA
NA,"GTSF1",NA
NA,"GUCA2A",NA
NA,"GUCA2B",NA
NA,"HBQ1",NA
NA,"HCLS1",NA
NA,"HMSD",NA
NA,"HMX2",NA
NA,"HNF1A",NA
NA,"HOXA4",NA
NA,"HOXA7",NA
NA,"HOXA9",NA
NA,"HOXB2",NA
NA,"HOXB4",NA
NA,"HOXB7",NA
NA,"HOXD11",NA
NA,"HOXD8",NA
NA,"HPDL",NA
NA,"HSD17B3",NA
NA,"HSPA1A",NA
NA,"HSPB2",NA
NA,"HSPB3",NA
NA,"HYAL1",NA
NA,"ID4",NA
NA,"IFITM1",NA
NA,"IFITM2",NA
NA,"IL12RB1",NA
NA,"IL18",NA
NA,"IL32",NA
NA,"INA",NA
NA,"INSL6",NA
NA,"IRX1",NA
NA,"IRX2",NA
NA,"ISG15",NA
NA,"ITPRIPL1",NA
NA,"IVD",NA
NA,"KCNC3",NA
NA,"KCNS1",NA
NA,"KCTD14",NA
NA,"KLF8",NA
NA,"KLHDC7B",NA
NA,"KLHDC9",NA
NA,"KLHL34",NA
NA,"KRT19",NA
NA,"KRT20",NA
NA,"KRT23",NA
NA,"KRT7",NA
NA,"KRTCAP3",NA
NA,"L1TD1",NA
NA,"LAGE3",NA
NA,"LAYN",NA
NA,"LDHB",NA
NA,"LDLRAD1",NA
NA,"LDOC1",NA
NA,"LEP",NA
NA,"LGALS4",NA
NA,"LGI4",NA
NA,"LIM2",NA
NA,"LIPG",NA
NA,"LMAN1L",NA
NA,"LOC375196",NA
NA,"LPAR6",NA
NA,"LRAT",NA
NA,"LRFN5",NA
NA,"LRRC34",NA
NA,"LRRC61",NA
NA,"LUM",NA
NA,"LXN",NA
NA,"LY6D",NA
NA,"LY6K",NA
NA,"LY75",NA
NA,"LY96",NA
NA,"MAB21L1",NA
NA,"MAEL",NA
NA,"MAGEA1",NA
NA,"MAGEA10",NA
NA,"MAGEA12",NA
NA,"MAGEA2",NA
NA,"MAGEB1",NA
NA,"MAGEB16",NA
NA,"MAGEB2",NA
NA,"MAGEB6",NA
NA,"MAGEC2",NA
NA,"MAGED1",NA
NA,"MAGEH1",NA
NA,"MAP1LC3A",NA
